0.1 	 _Z11badFunctioni 	 401776	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401769	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 40175b	 addss %xmm1,%xmm0
0.1 	 _Z11badFunctioni 	 40174c	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40173f	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 401723	 movslq %edx,%rsi
0.1 	 _Z11badFunctioni 	 4016ff	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 4016e2	 imul %r8,%rdx
0.1 	 _Z11badFunctioni 	 4016d5	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 4016ab	 mov -0x38(%rbp),%rax
0.1 	 _Z11badFunctioni 	 40169d	 mov %rcx,%rdi
0.1 	 _Z11badFunctioni 	 40168e	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40166e	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 40166b	 movslq %esi,%rsi
0.1 	 _Z11badFunctioni 	 401661	 mov -0x68(%rbp),%eax
0.1 	 _Z11badFunctioni 	 40165e	 lea 0x1(%rax),%edx
0.1 	 _Z11badFunctioni 	 401654	 mov %r10,%r8
0.1 	 _Z11badFunctioni 	 40164f	 movss (%rax,%rdx,4),%xmm1
0.1 	 _Z11badFunctioni 	 401645	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 401642	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 401638	 mov -0x38(%rbp),%rax
0.1 	 _Z11badFunctioni 	 401634	 shr $0x2,%r8
0.1 	 _Z11badFunctioni 	 401625	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401618	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 40160a	 addss %xmm1,%xmm0
0.1 	 _Z11badFunctioni 	 4015fe	 imul %r8,%rdx
0.1 	 _Z11badFunctioni 	 4015fb	 movslq %edx,%rdx
0.1 	 _Z11badFunctioni 	 4015f1	 mov -0x50(%rbp),%rax
0.1 	 _Z11badFunctioni 	 4015ee	 lea -0x1(%rax),%edx
0.1 	 _Z11badFunctioni 	 4015df	 movss (%rax,%rdx,4),%xmm1
0.1 	 _Z11badFunctioni 	 4015d2	 mov -0x64(%rbp),%edx
0.1 	 _Z11badFunctioni 	 4015c4	 shr $0x2,%r8
0.1 	 _Z11badFunctioni 	 4015b5	 movss %xmm0,(%rax,%rdx,4)
0.1 	 _Z11badFunctioni 	 401588	 movslq %esi,%rsi
0.1 	 _Z12goodFunctioni 	 401228	 mov -0x38(%rbp),%rax
0.0 	 _Z11badFunctioni 	 4019ae	 sub $0x1,%eax
0.0 	 _Z11badFunctioni 	 4019ab	 mov -0x74(%rbp),%eax
0.0 	 _Z11badFunctioni 	 4019a1	 jg 401521 <_Z11badFunctioni+0x2a4>
0.0 	 _Z11badFunctioni 	 401998	 mov -0x74(%rbp),%eax
0.0 	 _Z11badFunctioni 	 40198f	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 40198c	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401988	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 401982	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40197f	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40197c	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401967	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401964	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40195a	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401957	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40194c	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401949	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 40193d	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 40193a	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401930	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40192d	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40191d	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401916	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401910	 movslq %esi,%rsi
0.0 	 _Z11badFunctioni 	 401909	 lea 0x1(%rax),%esi
0.0 	 _Z11badFunctioni 	 401903	 lea 0x1(%rax),%edx
0.0 	 _Z11badFunctioni 	 4018fc	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 4018f4	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z11badFunctioni 	 4018ed	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 4018e7	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4018e1	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4018d9	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 4018d2	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 4018ca	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 4018c3	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 4018bd	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4018b7	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4018af	 addss %xmm1,%xmm0
0.0 	 _Z11badFunctioni 	 4018a7	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4018a0	 movslq %edx,%rdx
0.0 	 _Z11badFunctioni 	 40189a	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 401893	 lea 0x1(%rax),%edx
0.0 	 _Z11badFunctioni 	 40188c	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401884	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z11badFunctioni 	 40187d	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401877	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401871	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401869	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401862	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 40185a	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 401853	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 40184d	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401847	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401837	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401833	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401829	 mov -0x50(%rbp),%rax
0.0 	 _Z11badFunctioni 	 401826	 lea 0x1(%rax),%esi
0.0 	 _Z11badFunctioni 	 401819	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 40180a	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401801	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4017fe	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4017ef	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 4017d7	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4017d4	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4017c7	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 4017c4	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4017ba	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4017b7	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4017a8	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 40179d	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401799	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401790	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40178d	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401782	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 40177e	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 401773	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40176f	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 401766	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 401763	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401756	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 40174f	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401749	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401743	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40173b	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401733	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z11badFunctioni 	 401730	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40172c	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401726	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401720	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401718	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 401715	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 401711	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 401709	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 401706	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401702	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 4016fc	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4016f9	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4016f6	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4016ee	 addss %xmm1,%xmm0
0.0 	 _Z11badFunctioni 	 4016e9	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 4016e6	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4016df	 movslq %r9d,%rdx
0.0 	 _Z11badFunctioni 	 4016dc	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4016d9	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4016d1	 lea -0x1(%rax),%r9d
0.0 	 _Z11badFunctioni 	 4016ce	 mov -0x64(%rbp),%eax
0.0 	 _Z11badFunctioni 	 4016ca	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 4016c2	 movss (%rax,%rdx,4),%xmm1
0.0 	 _Z11badFunctioni 	 4016bf	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4016bb	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 4016b5	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4016b2	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4016af	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 4016a7	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 4016a4	 mov %rcx,%r8
0.0 	 _Z11badFunctioni 	 4016a0	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 401698	 movss %xmm0,(%rax,%rdx,4)
0.0 	 _Z11badFunctioni 	 401695	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401691	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 40168b	 mov -0x64(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401688	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 401685	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401678	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401675	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401671	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 401667	 mov -0x50(%rbp),%rax
0.0 	 _Z11badFunctioni 	 401664	 lea -0x1(%rax),%esi
0.0 	 _Z11badFunctioni 	 40165b	 mov -0x64(%rbp),%eax
0.0 	 _Z11badFunctioni 	 401657	 shr $0x2,%r8
0.0 	 _Z11badFunctioni 	 40164c	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 401648	 imul %r8,%rdx
0.0 	 _Z11badFunctioni 	 40163f	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 40163c	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 40162d	 shr $0x2,%rdi
0.0 	 _Z11badFunctioni 	 401622	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 40161e	 imul %rdi,%rdx
0.0 	 _Z11badFunctioni 	 401615	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 401612	 mov -0x68(%rbp),%edx
0.0 	 _Z11badFunctioni 	 401605	 movss (%rax,%rdx,4),%xmm0
0.0 	 _Z11badFunctioni 	 401602	 add %rsi,%rdx
0.0 	 _Z11badFunctioni 	 4015f5	 movslq %edx,%rsi
0.0 	 _Z11badFunctioni 	 4015eb	 mov -0x68(%rbp),%eax
